class,support,sj546_acc,sj546_f1,2xsjf_acc,2xsjf_f1,grqhq_acc,grqhq_f1,f7wzn_acc,f7wzn_f1,sbsd5_acc,sbsd5_f1,scjmd_acc,scjmd_f1,mozilla-1.0.2_acc,mozilla-1.0.2_f1
other,1060,0.8613,0.8851,0.817,0.8708,0.8198,0.8651,0.8858,0.8719,0.8406,0.8727,0.834,0.8671,0.8783,0.8746
address-level2,375,0.968,0.9654,0.9733,0.9618,0.9653,0.9602,0.9707,0.9592,0.9733,0.9643,0.968,0.959,0.9547,0.9572
postal-code,370,0.9946,0.9684,0.9865,0.9682,0.9784,0.9757,0.973,0.9717,0.9892,0.9786,0.9649,0.9701,0.9676,0.9689
given-name,336,0.9851,0.9837,0.9881,0.9779,0.9792,0.9806,0.9613,0.9613,0.9762,0.9776,0.9792,0.9387,0.9702,0.9645
family-name,333,0.988,0.9806,0.985,0.9452,0.982,0.9689,0.979,0.9717,0.985,0.9747,0.982,0.9675,0.985,0.9747
email,327,0.9817,0.9757,0.9817,0.9742,1.0,0.9805,0.9817,0.9787,0.9939,0.9848,0.9817,0.9787,0.9694,0.9709
tel,324,0.9475,0.9388,0.9444,0.9401,0.9537,0.9238,0.9444,0.9107,0.9105,0.9008,0.9414,0.8971,0.9321,0.9179
address-level1,271,0.9262,0.9383,0.9262,0.9228,0.9262,0.9296,0.8819,0.9282,0.893,0.9202,0.9004,0.9313,0.9188,0.9222
address-line1,256,0.8164,0.8164,0.8086,0.8313,0.8359,0.8199,0.6914,0.75,0.8125,0.7834,0.7891,0.7695,0.8008,0.7621
address-line2,249,0.8715,0.868,0.8876,0.8735,0.9036,0.8197,0.8153,0.8286,0.8635,0.8206,0.8434,0.8333,0.8635,0.8175
country,207,0.942,0.9466,0.9517,0.9563,0.9372,0.9417,0.9469,0.9584,0.9324,0.9438,0.9517,0.9448,0.913,0.9356
street-address,156,0.7244,0.7019,0.7244,0.6667,0.7372,0.6845,0.7115,0.6307,0.5321,0.5784,0.7244,0.6686,0.4808,0.5515
organization,111,0.9459,0.9211,0.9459,0.9292,0.9459,0.913,0.8559,0.8796,0.9189,0.9315,0.8919,0.9209,0.9099,0.9224
address-housenumber,96,0.8333,0.8889,0.8542,0.8723,0.7917,0.8352,0.75,0.8136,0.7917,0.7917,0.7292,0.814,0.8229,0.836
name,68,0.75,0.7907,0.7794,0.7852,0.7059,0.7559,0.7353,0.7634,0.7206,0.7538,0.75,0.7846,0.6471,0.6567
cc-number,51,0.9804,0.813,0.9804,0.8264,0.9216,0.8468,0.9412,0.8348,0.9608,0.7967,0.9412,0.8496,0.8824,0.8571
tel-country-code,50,0.84,0.8235,0.86,0.8431,0.8,0.7843,0.7,0.7692,0.8,0.7767,0.76,0.7917,0.76,0.7451
tel-national,41,0.5854,0.64,0.6341,0.642,0.5122,0.5676,0.2439,0.3279,0.439,0.4615,0.2195,0.2903,0.4634,0.5
cc-csc,30,0.9333,0.8485,0.9,0.7941,0.8333,0.8197,0.8333,0.8621,0.8333,0.8197,0.9333,0.8615,0.8333,0.7937
address-level3,27,0.8148,0.8302,0.6667,0.72,0.7037,0.717,0.8889,0.7164,0.8889,0.7385,0.8519,0.697,0.6296,0.5965
cc-name,25,1.0,0.8929,1.0,0.8772,0.92,0.8679,0.84,0.84,1.0,0.8333,0.92,0.8214,0.84,0.8571
cc-exp-month,25,0.92,0.8364,0.88,0.8,0.8,0.8511,0.72,0.766,0.8,0.8333,0.8,0.8333,0.8,0.7692
cc-exp,24,0.8333,0.8889,0.5833,0.7368,0.6667,0.7442,0.75,0.8372,0.8333,0.8,0.8333,0.8696,0.4583,0.6286
cc-exp-year,22,1.0,0.6984,1.0,0.5946,0.8182,0.8,0.8636,0.5352,0.9091,0.7692,0.8636,0.5135,0.8636,0.8636
bday,13,0.9231,0.8889,0.8462,0.8148,0.6154,0.6957,0.7692,0.6667,0.8462,0.7586,0.8462,0.7097,0.9231,0.7059
address-line3,10,0.1,0.1429,0.2,0.3077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sex,9,0.5556,0.6667,0.5556,0.5556,0.4444,0.6154,0.4444,0.5714,0.4444,0.5714,0.4444,0.6154,0.4444,0.4211
bday-day,7,1.0,1.0,0.7143,0.7692,0.7143,0.8333,0.5714,0.6667,0.4286,0.6,0.4286,0.5455,0.0,0.0
bday-month,7,0.7143,0.8333,0.7143,0.625,1.0,0.9333,1.0,0.9333,1.0,0.7368,0.8571,0.75,0.7143,0.625
bday-year,7,0.5714,0.7273,0.5714,0.7273,0.5714,0.5714,0.4286,0.6,0.7143,0.3226,0.4286,0.6,0.7143,0.6667
cc-type,7,0.8571,0.8,1.0,0.7,1.0,0.9333,0.8571,0.8,1.0,1.0,0.8571,0.9231,1.0,1.0
additional-name,6,0.3333,0.5,0.5,0.6667,0.3333,0.129,0.5,0.5,0.5,0.3529,0.3333,0.5,0.5,0.5455
address-extra-housesuffix,4,0.25,0.4,0.5,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tel-extension,4,1.0,0.8,1.0,1.0,0.75,0.6667,1.0,0.8889,1.0,0.8889,0.75,0.6667,0.5,0.4444
tel-local-prefix,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tel-area-code,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
tel-local,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc-given-name,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc-family-name,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
